"","Assembly.Accession","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Organism.Name","Assembly.Submission.Date","file"
"374","GCF_005281545.1","Chromosome",159800,46227939,"Epinephelus lanceolatus","2019-05-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_005281545.1/GCF_005281545.1_ASM528154v1_genomic.fna"
"584","GCF_006149115.2","Chromosome",330763,1063416,"Oncorhynchus nerka","2019-06-07","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_006149115.2/GCF_006149115.2_Oner_1.1_genomic.fna"
"375","GCF_006386435.1","Chromosome",76174,43431032,"Epinephelus moara","2019-06-26","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_006386435.1/GCF_006386435.1_YSFRI_EMoa_1.0_genomic.fna"
"179","GCF_007364275.1","Chromosome",2146538,35590001,"Archocentrus centrarchus","2019-08-01","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_007364275.1/GCF_007364275.1_fArcCen1_genomic.fna"
"781","GCF_008315115.2","Chromosome",6663498,41060379,"Sander lucioperca","2020-08-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_008315115.2/GCF_008315115.2_SLUC_FBN_1.2_genomic.fna"
"376","GCF_008692095.1","Chromosome",26023,30497795,"Etheostoma spectabile","2019-10-07","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_008692095.1/GCF_008692095.1_UIUC_Espe_1.0_genomic.fna"
"782","GCF_008729295.1","Chromosome",897070,33285428,"Plectropomus leopardus","2020-05-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_008729295.1/GCF_008729295.1_YSFRI_Pleo_2.0_genomic.fna"
"783","GCF_009078355.1","Chromosome",16187036,26458119,"Pangasianodon hypophthalmus","2019-10-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_009078355.1/GCF_009078355.1_GENO_Phyp_1.0_genomic.fna"
"585","GCF_009762535.1","Chromosome",3748462,37090664,"Notolabrus celidotus","2019-12-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_009762535.1/GCF_009762535.1_fNotCel1.pri_genomic.fna"
"180","GCF_009769545.1","Chromosome",4950682,23863342,"Cyclopterus lumpus","2019-12-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_009769545.1/GCF_009769545.1_fCycLum1.pri_genomic.fna"
"377","GCF_009819705.1","Chromosome",7020318,26312018,"Hippoglossus hippoglossus","2019-12-31","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_009819705.1/GCF_009819705.1_fHipHip1.pri_genomic.fna"
"784","GCF_009829125.1","Chromosome",2301275,32865169,"Periophthalmus magnuspinnatus","2020-01-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_009829125.1/GCF_009829125.1_fPerMag1.pri_genomic.fna"
"785","GCF_010015445.1","Chromosome",4197643,39550354,"Perca fluviatilis","2020-01-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_010015445.1/GCF_010015445.1_GENO_Pfluv_1.0_genomic.fna"
"378","GCF_011004845.1","Chromosome",22630263,37473588,"Esox lucius","2020-03-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_011004845.1/GCF_011004845.1_fEsoLuc1.pri_genomic.fna"
"379","GCF_011125445.2","Chromosome",587965,39340135,"Fundulus heteroclitus","2020-08-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_011125445.2/GCF_011125445.2_MU-UCD_Fhet_4.1_genomic.fna"
"380","GCF_011397635.1","Chromosome",13857438,44419306,"Epinephelus fuscoguttatus","2020-02-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_011397635.1/GCF_011397635.1_E.fuscoguttatus.final_Chr_v1_genomic.fna"
"381","GCF_013103735.1","Chromosome",45088,27593271,"Etheostoma cragini","2020-05-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013103735.1/GCF_013103735.1_CSU_Ecrag_1.0_genomic.fna"
"586","GCF_013265735.2","Chromosome",15579713,39165350,"Oncorhynchus mykiss","2020-09-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013265735.2/GCF_013265735.2_USDA_OmykA_1.1_genomic.fna"
"181","GCF_013347855.1","Chromosome",5114673,57205429,"Anguilla anguilla","2020-06-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013347855.1/GCF_013347855.1_fAngAng1.pri_genomic.fna"
"382","GCF_013358815.1","Chromosome",7062559,25664172,"Electrophorus electricus","2020-06-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013358815.1/GCF_013358815.1_fEleEle1.pri_genomic.fna"
"786","GCF_013358895.1","Chromosome",4182292,40723988,"Oreochromis aureus","2020-06-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013358895.1/GCF_013358895.1_ZZ_aureus_genomic.fna"
"587","GCF_013368585.1","Chromosome",26850664,38251172,"Megalops cyprinoides","2020-06-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_013368585.1/GCF_013368585.1_fMegCyp1.pri_genomic.fna"
"984","GCF_014805685.1","Chromosome",13195069,28049309,"Silurus meridionalis","2020-10-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_014805685.1/GCF_014805685.1_ASM1480568v1_genomic.fna"
"588","GCF_014851395.1","Scaffold",1227323,36481429,"Micropterus salmoides","2020-10-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_014851395.1/GCF_014851395.1_ASM1485139v1_genomic.fna"
"589","GCF_014905685.2","Chromosome",19984,49984095,"Nematolebias whitei","2021-03-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_014905685.2/GCF_014905685.2_NemWhi1_genomic.fna"
"787","GCF_015220715.1","Chromosome",12898870,42283192,"Pygocentrus nattereri","2020-11-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_015220715.1/GCF_015220715.1_fPygNat1.pri_genomic.fna"
"985","GCF_015220745.1","Chromosome",11445908,34912176,"Sebastes umbrosus","2020-11-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_015220745.1/GCF_015220745.1_fSebUmb1.pri_genomic.fna"
"383","GCF_016077235.1","Contig",1362150,NA,"Cyprinodon tularosa","2020-12-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_016077235.1/GCF_016077235.1_ASM1607723v1_genomic.fna"
"788","GCF_016432855.1","Chromosome",1804090,44976251,"Salvelinus namaycush","2021-01-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_016432855.1/GCF_016432855.1_SaNama_1.0_genomic.fna"
"789","GCF_016745375.1","Scaffold",295770,11952773,"Pimephales promelas","2021-01-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_016745375.1/GCF_016745375.1_EPA_FHM_2.0_genomic.fna"
"1035","GCF_016859285.1","Chromosome",5252707,29220096,"Xiphias gladius","2021-02-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_016859285.1/GCF_016859285.1_ASM1685928v1_genomic.fna"
"384","GCF_016920845.1","Chromosome",485752,20445003,"Gasterosteus aculeatus aculeatus","2021-02-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_016920845.1/GCF_016920845.1_GAculeatus_UGA_version5_genomic.fna"
"182","GCF_017589495.1","Chromosome",1188980,35353468,"Alosa alosa","2021-03-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_017589495.1/GCF_017589495.1_AALO_Geno_1.1_genomic.fna"
"590","GCF_017639745.1","Chromosome",9299978,37878235,"Melanotaenia boesemani","2021-03-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_017639745.1/GCF_017639745.1_fMelBoe1.pri_genomic.fna"
"183","GCF_017976325.1","Chromosome",16959746,27778429,"Chelmon rostratus","2021-04-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_017976325.1/GCF_017976325.1_fCheRos1.pri_genomic.fna"
"986","GCF_017976425.1","Chromosome",15555772,26859436,"Toxotes jaculatrix","2021-04-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_017976425.1/GCF_017976425.1_fToxJac2.pri_genomic.fna"
"591","GCF_018296145.1","Chromosome",2884253,2884253,"Oncorhynchus tshawytscha","2021-05-07","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018296145.1/GCF_018296145.1_Otsh_v2.0_genomic.fna"
"184","GCF_018320785.1","Chromosome",16477222,51466935,"Cheilinus undulatus","2021-05-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018320785.1/GCF_018320785.1_ASM1832078v1_genomic.fna"
"385","GCF_018340385.1","Chromosome",1558716,29545497,"Cyprinus carpio","2021-05-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018340385.1/GCF_018340385.1_ASM1834038v1_genomic.fna"
"386","GCF_018398535.1","Scaffold",47717,1410599,"Haplochromis burtoni","2021-05-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018398535.1/GCF_018398535.1_NCSU_Asbu1_genomic.fna"
"185","GCF_018492685.1","Chromosome",1565278,38440066,"Alosa sapidissima","2021-05-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018492685.1/GCF_018492685.1_fAloSap1.pri_genomic.fna"
"592","GCF_018812025.1","Chromosome",2576066,42265598,"Megalobrama amblycephala","2021-06-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018812025.1/GCF_018812025.1_ASM1881202v1_genomic.fna"
"790","GCF_018831695.1","Chromosome",1423374,25085836,"Puntigrus tetrazona","2021-06-10","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_018831695.1/GCF_018831695.1_ASM1883169v1_genomic.fna"
"987","GCF_019176455.1","Chromosome",1188264,26091242,"Solea senegalensis","2021-07-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_019176455.1/GCF_019176455.1_IFAPA_SoseM_1_genomic.fna"
"593","GCF_019703515.2","Chromosome",35119607,47849308,"Myxocyprinus asiaticus","2022-10-26","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_019703515.2/GCF_019703515.2_UBuf_Myxa_2_genomic.fna"
"387","GCF_019740435.1","Chromosome",12906370,29761488,"Gambusia affinis","2021-08-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_019740435.1/GCF_019740435.1_SWU_Gaff_1.0_genomic.fna"
"186","GCF_019924925.1","Chromosome",19319444,35662356,"Ctenopharyngodon idella","2021-09-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_019924925.1/GCF_019924925.1_HZGC01_genomic.fna"
"988","GCF_020085105.1","Chromosome",20478450,30013189,"Siniperca chuatsi","2021-09-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_020085105.1/GCF_020085105.1_ASM2008510v1_genomic.fna"
"791","GCF_020382885.2","Chromosome",17189422,24451451,"Scatophagus argus","2021-10-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_020382885.2/GCF_020382885.2_fScaArg1.pri_genomic.fna"
"187","GCF_020615455.1","Chromosome",2177185,52021072,"Coregonus clupeaformis","2021-11-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_020615455.1/GCF_020615455.1_ASM2061545v1_genomic.fna"
"594","GCF_021184085.1","Chromosome",1451475,85609528,"Oncorhynchus gorbuscha","2021-12-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_021184085.1/GCF_021184085.1_OgorEven_v1.0_genomic.fna"
"595","GCF_021292245.1","Chromosome",46775,34173225,"Micropterus dolomieu","2022-01-11","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_021292245.1/GCF_021292245.1_ASM2129224v1_genomic.fna"
"188","GCF_021347895.1","Chromosome",5524274,41709588,"Acanthochromis polyacanthus","2022-01-11","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_021347895.1/GCF_021347895.1_KAUST_Apoly_ChrSc_genomic.fna"
"388","GCF_021462225.1","Chromosome",13818222,47419401,"Girardinichthys multiradiatus","2022-02-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_021462225.1/GCF_021462225.1_DD_fGirMul_XY1_genomic.fna"
"389","GCF_021917145.1","Chromosome",412669,14850352,"Hypomesus transpacificus","2022-02-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_021917145.1/GCF_021917145.1_fHypTra1_genomic.fna"
"792","GCF_022379125.1","Chromosome",25762658,25762658,"Scophthalmus maximus","2022-02-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_022379125.1/GCF_022379125.1_ASM2237912v1_genomic.fna"
"596","GCF_022458985.1","Chromosome",20153794,28326520,"Mugil cephalus","2022-03-04","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_022458985.1/GCF_022458985.1_CIBA_Mcephalus_1.1_genomic.fna"
"390","GCF_022539355.2","Chromosome",4638087,27288303,"Hippoglossus stenolepis","2022-03-10","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_022539355.2/GCF_022539355.2_HSTE1.2_genomic.fna"
"989","GCF_022655615.1","Chromosome",3329536,27158553,"Tachysurus fulvidraco","2022-03-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_022655615.1/GCF_022655615.1_HZAU_PFXX_2.0_genomic.fna"
"391","GCF_022985175.1","Chromosome",1265157,37901974,"Labeo rohita","2022-04-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_022985175.1/GCF_022985175.1_IGBB_LRoh.1.0_genomic.fna"
"597","GCF_023373465.1","Chromosome",2022835,2025324,"Oncorhynchus keta","2022-05-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_023373465.1/GCF_023373465.1_Oket_V2_genomic.fna"
"189","GCF_023375975.1","Chromosome",47087582,51923808,"Astyanax mexicanus","2022-05-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_023375975.1/GCF_023375975.1_AstMex3_surface_genomic.fna"
"190","GCF_023724105.1","Chromosome",5134100,30677984,"Carassius gibelio","2022-06-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_023724105.1/GCF_023724105.1_carGib1.2-hapl.c_genomic.fna"
"191","GCF_023856365.1","Chromosome",4190077,27298164,"Brienomyrus brachyistius","2022-06-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_023856365.1/GCF_023856365.1_BBRACH_0.4_genomic.fna"
"990","GCF_024217435.1","Scaffold",15551623,17337441,"Syngnathus scovelli","2022-07-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_024217435.1/GCF_024217435.1_RoL_Ssco_1.1_genomic.fna"
"392","GCF_025434085.1","Chromosome",22513697,26043804,"Hippocampus zosterae","2022-09-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_025434085.1/GCF_025434085.1_ASM2543408v3_genomic.fna"
"1036","GCF_025860055.1","Chromosome",5095822,43767000,"Xyrauchen texanus","2022-10-26","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_025860055.1/GCF_025860055.1_RBS_HiC_50CHRs_genomic.fna"
"393","GCF_900080235.1","Scaffold",703847,794648,"Labrus bergylta","2016-05-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900080235.1/GCF_900080235.1_BallGen_V1_genomic.fna"
"192","GCF_900246225.1","Chromosome",4438245,38669361,"Astatotilapia calliptera","2018-05-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900246225.1/GCF_900246225.1_fAstCal1.2_genomic.fna"
"193","GCF_900324465.2","Chromosome",7055436,25063394,"Anabas testudineus","2018-12-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900324465.2/GCF_900324465.2_fAnaTes1.2_genomic.fna"
"598","GCF_900324485.2","Chromosome",8014513,25090313,"Mastacembelus armatus","2019-03-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900324485.2/GCF_900324485.2_fMasArm1.2_genomic.fna"
"991","GCF_900408965.1","Scaffold",2231376,8960300,"Simochromis diagramma","2018-06-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900408965.1/GCF_900408965.1_fSimDia1.1_genomic.fna"
"194","GCF_900634415.1","Chromosome",6330900,25156145,"Cottoperca gobio","2019-02-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900634415.1/GCF_900634415.1_fCotGob3.1_genomic.fna"
"793","GCF_900634625.1","Chromosome",5080925,22993012,"Parambassis ranga","2019-02-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900634625.1/GCF_900634625.1_fParRan2.1_genomic.fna"
"394","GCF_900634775.1","Chromosome",1838341,38978045,"Gouania willdenowi","2019-02-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900634775.1/GCF_900634775.1_fGouWil2.1_genomic.fna"
"195","GCF_900634795.3","Chromosome",2497747,20129463,"Betta splendens","2020-08-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900634795.3/GCF_900634795.3_fBetSpl5.3_genomic.fna"
"395","GCF_900700375.1","Chromosome",3059612,22793177,"Denticeps clupeoides","2019-03-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900700375.1/GCF_900700375.1_fDenClu1.1_genomic.fna"
"196","GCF_900700415.2","Chromosome",1006413,29845739,"Clupea harengus","2019-04-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900700415.2/GCF_900700415.2_Ch_v2.0.2_genomic.fna"
"992","GCF_900880675.1","Chromosome",2862625,35791275,"Sparus aurata","2019-07-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900880675.1/GCF_900880675.1_fSpaAur1.1_genomic.fna"
"396","GCF_900963305.1","Chromosome",12371513,23287306,"Echeneis naucrates","2019-04-11","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900963305.1/GCF_900963305.1_fEcheNa1.1_genomic.fna"
"794","GCF_900964775.1","Chromosome",9102216,31084684,"Scleropages formosus","2019-04-11","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_900964775.1/GCF_900964775.1_fSclFor1.1_genomic.fna"
"993","GCF_901000725.2","Chromosome",3136617,16705553,"Takifugu rubripes","2019-06-05","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_901000725.2/GCF_901000725.2_fTakRub1.2_genomic.fna"
"795","GCF_901001165.1","Chromosome",1703178,52209666,"Salmo trutta","2019-06-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_901001165.1/GCF_901001165.1_fSalTru1.1_genomic.fna"
"994","GCF_901709675.1","Chromosome",11959915,14974571,"Syngnathus acus","2020-07-31","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_901709675.1/GCF_901709675.1_fSynAcu1.2_genomic.fna"
"796","GCF_902148845.1","Chromosome",2597836,32729575,"Salarias fasciatus","2019-07-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902148845.1/GCF_902148845.1_fSalaFa1.1_genomic.fna"
"995","GCF_902148855.1","Chromosome",2360121,57165184,"Sphaeramia orbicularis","2019-07-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902148855.1/GCF_902148855.1_fSphaOr1.1_genomic.fna"
"599","GCF_902150065.1","Chromosome",14475636,34950760,"Myripristis murdjan","2019-07-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902150065.1/GCF_902150065.1_fMyrMur1.1_genomic.fna"
"397","GCF_902167405.1","Chromosome",1015663,28732775,"Gadus morhua","2019-07-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902167405.1/GCF_902167405.1_gadMor3.0_genomic.fna"
"197","GCF_902362185.1","Chromosome",23134051,50300218,"Chanos chanos","2019-08-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902362185.1/GCF_902362185.1_fChaCha1.1_genomic.fna"
"996","GCF_902500255.1","Chromosome",2329598,118421481,"Thalassophryne amazonica","2019-09-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902500255.1/GCF_902500255.1_fThaAma1.1_genomic.fna"
"797","GCF_902500615.1","Scaffold",2775277,20450314,"Pungitius pungitius","2020-10-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902500615.1/GCF_902500615.1_NSP_V7_genomic.fna"
"798","GCF_902827115.1","Chromosome",661283,42832159,"Pseudochaenichthys georgianus","2020-04-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902827115.1/GCF_902827115.1_fPseGeo1.1_genomic.fna"
"997","GCF_902827165.1","Scaffold",1402669,8748152,"Trematomus bernacchii","2020-04-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902827165.1/GCF_902827165.1_fTreBer1.1_genomic.fna"
"398","GCF_902827175.1","Scaffold",534678,1921211,"Gymnodraco acuticeps","2020-04-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_902827175.1/GCF_902827175.1_fGymAcu1.1_genomic.fna"
"198","GCF_904425465.1","Scaffold",5645235,40163545,"Colossoma macropomum","2020-09-25","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_904425465.1/GCF_904425465.1_Colossoma_macropomum_genomic.fna"
"199","GCF_904848185.1","Chromosome",14880455,30717905,"Acanthopagrus latus","2020-10-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_904848185.1/GCF_904848185.1_fAcaLat1.1_genomic.fna"
"799","GCF_905237065.1","Chromosome",28058890,28058890,"Salmo salar","2021-04-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_905237065.1/GCF_905237065.1_Ssal_v3.1_genomic.fna"
"399","GCF_905237075.1","Scaffold",12677075,29885359,"Dicentrarchus labrax","2021-04-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_905237075.1/GCF_905237075.1_dlabrax2021_genomic.fna"
"998","GCF_910596095.1","Chromosome",26803536,33761101,"Thunnus maccoyii","2021-07-07","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_910596095.1/GCF_910596095.1_fThuMac1.1_genomic.fna"
"999","GCF_914725855.1","Chromosome",26795544,34622995,"Thunnus albacares","2021-09-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCF_914725855.1/GCF_914725855.1_fThuAlb1.1_genomic.fna"
